id,user_stage,direction,goal,timeline,experience,available_days,difficulty,previous_goals_count,completed_goals_count,pathway_type,total_duration,num_phases,total_steps
RIPPLE_0025,Working,Change Careers,Transition from QA to Dev,6 Months,Beginner (Basic theory / introductory coursework),Sat;Sun,Easy,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0026,University Student,Get a Job,Software Engineering,1 Month,Beginner (Basic theory / introductory coursework),Sat;Sun,Intensive,3,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0027,University Student,Freelance,Build Client Portfolio,6 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri,Intensive,3,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0028,Changing Careers,Switch Industry,Data Science Career Pivot,3 Months,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0029,University Student,Get a Job,Cybersecurity Analyst,1 Month,Beginner (No prior background),Mon;Wed;Fri,Easy,1,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0030,Changing Careers,Switch Industry,Data Science Career Pivot,1 Week,"Advanced (3+ years experience, looking to level up)",Sat;Sun,Easy,2,2,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0031,High School,Learn a Skill,Full-Stack Web Basics,3 Months,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri,Hard,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0032,Working,Grow in My Career,Promotion to Senior Engineer,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri;Sat,Hard,2,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0033,Just Graduated,Higher Studies,Statement of Purpose & Reference Letters,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Easy,2,1,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0034,University Student,Higher Studies,Research Fellowship Application,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Moderate,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0035,Entrepreneur,Find Investors,Raise $250k Pre-Seed,6 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Easy,2,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0036,Building My Own Thing,Small Business,Local Service Agency Launch,1 Week,Beginner (No prior background),Mon;Wed;Fri,Easy,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0037,Entrepreneur,Grow My Business,Product Hunt Launch to #1 Product of Day,1 Month,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri,Moderate,2,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0038,Building My Own Thing,Startup,AI Micro-SaaS Launch,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0039,Entrepreneur,Find Investors,Create Investor Pitch Deck & Data Room,1 Week,Beginner (Basic theory / introductory coursework),Sat;Sun,Hard,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0040,Entrepreneur,Find Investors,Create Investor Pitch Deck & Data Room,1 Week,Intermediate (1-2 years relevant experience),Mon;Wed;Fri;Sat,Moderate,3,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0041,Building My Own Thing,Startup,Mobile App with 10k Downloads,3 Months,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Easy,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0042,University Student,Build a Startup,Launch MVP on Campus,3 Months,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0043,Changing Careers,Switch Industry,Product Management Transition,1 Month,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri,Easy,3,2,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0044,Building My Own Thing,Small Business,Local Service Agency Launch,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri,Hard,3,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0045,Working,Better Work-Life Balance,Daily Routine Reset,3 Months,Intermediate (1-2 years relevant experience),Tue;Thu;Sat;Sun,Easy,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0046,Working,Better Work-Life Balance,Daily Routine Reset,6 Months,Beginner (Basic theory / introductory coursework),Tue;Thu;Sat;Sun,Easy,2,2,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0047,Entrepreneur,Find Investors,Raise $250k Pre-Seed,1 Week,Beginner (No prior background),Sat;Sun,Moderate,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0048,Working,Better Work-Life Balance,Daily Routine Reset,6 Months,Intermediate (1-2 years relevant experience),Mon;Wed;Fri;Sat,Intensive,1,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0049,Entrepreneur,Grow My Business,Scale Revenue by 50%,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Intensive,1,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0050,Entrepreneur,Grow My Business,Product Hunt Launch to #1 Product of Day,3 Months,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,3,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0051,Entrepreneur,Grow My Business,Product Hunt Launch to #1 Product of Day,1 Month,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Intensive,2,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0052,Changing Careers,Switch Industry,Software Engineering Bootcamp to Job,1 Month,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri,Intensive,1,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0053,Working,Better Work-Life Balance,Deep Work Systems & Burnout Recovery,6 Months,Intermediate (1-2 years relevant experience),Mon;Wed;Fri;Sat,Easy,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0054,Working,Grow in My Career,Lead Cross-Functional Team,3 Months,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,1,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0055,High School,Learn a Skill,Python for Data Analysis,1 Week,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Hard,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0056,Changing Careers,Switch Industry,Product Management Transition,1 Week,Beginner (No prior background),Mon;Wed;Fri;Sat,Intensive,3,3,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0057,High School,Learn a Skill,Python for Data Analysis,3 Months,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri,Hard,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0058,High School,University,Scholarship Strategy,1 Week,Beginner (No prior background),Mon;Wed;Fri;Sat,Easy,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0059,Just Graduated,Find a Job,QA Automation Engineer,1 Week,"Advanced (3+ years experience, looking to level up)",Sat;Sun,Moderate,2,2,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0060,High School,University,Scholarship Strategy,1 Week,Intermediate (Built 1-2 small projects / self-taught),Sat;Sun,Intensive,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0061,University Student,Build a Startup,Apply to YC / Student Incubator,1 Week,"Advanced (3+ years experience, looking to level up)",Tue;Thu;Sat;Sun,Easy,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0062,University Student,Freelance,Build Client Portfolio,1 Week,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Hard,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0063,Building My Own Thing,Small Business,Local Service Agency Launch,6 Months,Intermediate (1-2 years relevant experience),Tue;Thu;Sat;Sun,Hard,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0064,Just Graduated,Higher Studies,Statement of Purpose & Reference Letters,6 Months,Intermediate (Built 1-2 small projects / self-taught),Sat;Sun,Easy,2,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0065,High School,Learn a Skill,Python for Data Analysis,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri;Sat;Sun,Hard,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0066,Changing Careers,Switch Industry,Software Engineering Bootcamp to Job,1 Month,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,1,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0067,Entrepreneur,Find Investors,Raise $250k Pre-Seed,3 Months,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri,Intensive,1,1,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0068,Changing Careers,Learn New Skills,Cloud & DevOps (AWS/Docker),3 Months,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Intensive,2,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0069,Building My Own Thing,Startup,Mobile App with 10k Downloads,1 Week,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri;Sat,Moderate,1,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0070,University Student,Higher Studies,Research Fellowship Application,1 Month,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Moderate,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0071,Building My Own Thing,Startup,Mobile App with 10k Downloads,1 Week,Beginner (No prior background),Mon;Wed;Fri,Hard,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0072,Entrepreneur,Find Investors,Create Investor Pitch Deck & Data Room,6 Months,Intermediate (1-2 years relevant experience),Tue;Thu;Sat;Sun,Intensive,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0073,University Student,Get a Job,Data Analyst,6 Months,Beginner (No prior background),Mon;Wed;Fri;Sat,Easy,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0074,High School,University,Top Tier CS University Admissions,1 Week,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,1,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0075,Working,Higher Salary,Target FAANG / Tier 1 Tech Offer,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri;Sat;Sun,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0076,Entrepreneur,Find Investors,Raise $250k Pre-Seed,3 Months,Beginner (No prior background),Mon;Wed;Fri;Sat,Moderate,1,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0077,Just Graduated,Find a Job,QA Automation Engineer,6 Months,"Advanced (3+ years experience, looking to level up)",Tue;Thu;Sat;Sun,Intensive,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0078,Just Graduated,Higher Studies,Statement of Purpose & Reference Letters,3 Months,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Easy,1,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0079,Working,Grow in My Career,Executive Presence & Tech Lead,1 Month,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri;Sat,Hard,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0080,University Student,Higher Studies,Research Fellowship Application,3 Months,Intermediate (1-2 years relevant experience),Sat;Sun,Easy,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0081,University Student,Get a Job,Data Analyst,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Hard,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0082,Just Graduated,Freelance,Full-time Freelance Agency,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri;Sat,Easy,3,1,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0083,Working,Better Work-Life Balance,Daily Routine Reset,6 Months,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Intensive,2,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0084,Building My Own Thing,Small Business,Local Service Agency Launch,6 Months,"Advanced (3+ years experience, looking to level up)",Sat;Sun,Easy,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0085,High School,Learn a Skill,Python for Data Analysis,1 Week,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Easy,3,2,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0086,Building My Own Thing,Small Business,E-commerce Brand to $5k MRR,1 Month,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Moderate,3,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0087,Just Graduated,Higher Studies,Statement of Purpose & Reference Letters,1 Week,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Intensive,1,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0088,Building My Own Thing,Startup,Mobile App with 10k Downloads,3 Months,"Advanced (3+ years experience, looking to level up)",Sat;Sun,Hard,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0089,Changing Careers,Switch Industry,Product Management Transition,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Moderate,2,2,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0090,High School,Start Working,Retail / Admin Experience,6 Months,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0091,Working,Higher Salary,Market Benchmark & Negotiation,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri;Sat,Intensive,3,3,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0092,University Student,Higher Studies,Research Fellowship Application,1 Week,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Easy,3,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0093,Working,Higher Salary,Target FAANG / Tier 1 Tech Offer,6 Months,Beginner (No prior background),Mon;Wed;Fri,Hard,3,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0094,Just Graduated,Freelance,Content Creation & Personal Brand,1 Month,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri,Intensive,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0095,Working,Change Careers,Transition to Product Management,3 Months,Beginner (No prior background),Tue;Thu;Sat;Sun,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0096,High School,Learn a Skill,Python for Data Analysis,6 Months,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Moderate,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0097,Just Graduated,Find a Job,Digital Marketing Specialist,6 Months,"Advanced (3+ years experience, looking to level up)",Sat;Sun,Moderate,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0098,Working,Higher Salary,Market Benchmark & Negotiation,6 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Moderate,3,2,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0099,Just Graduated,Higher Studies,Scholarship Hunt,1 Week,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0100,Building My Own Thing,Small Business,E-commerce Brand to $5k MRR,6 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Easy,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0101,Changing Careers,Learn New Skills,Cloud & DevOps (AWS/Docker),1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri;Sat,Hard,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0102,High School,Start Working,Resume & Interview Readiness,1 Month,Beginner (No prior background),Tue;Thu;Sat;Sun,Easy,3,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0103,High School,Learn a Skill,Mobile App Development,6 Months,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri;Sat,Moderate,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0104,High School,University,SAT 1500+ / ACT 34+,6 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Hard,3,3,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0105,Entrepreneur,Grow My Business,Scale Revenue by 50%,3 Months,"Advanced (3+ years experience, looking to level up)",Sat;Sun,Easy,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0106,Building My Own Thing,Startup,Mobile App with 10k Downloads,1 Week,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri;Sat;Sun,Hard,1,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0107,Building My Own Thing,Small Business,E-commerce Brand to $5k MRR,1 Month,Beginner (No prior background),Tue;Thu;Sat;Sun,Easy,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0108,Changing Careers,Switch Industry,Product Management Transition,6 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,1,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0109,Entrepreneur,Grow My Business,Product Hunt Launch to #1 Product of Day,6 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri,Easy,2,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0110,Entrepreneur,Grow My Business,Scale Revenue by 50%,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Hard,3,3,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0111,University Student,Build a Startup,Launch MVP on Campus,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Moderate,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0112,Just Graduated,Find a Job,Data Analyst,1 Month,"Advanced (3+ years experience, looking to level up)",Tue;Thu;Sat;Sun,Easy,1,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0113,University Student,Get a Job,Frontend Development,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Moderate,2,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0114,Just Graduated,Freelance,Content Creation & Personal Brand,1 Week,Beginner (No prior background),Sat;Sun,Intensive,2,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0115,Changing Careers,Switch Industry,Data Science Career Pivot,3 Months,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0116,Working,Better Work-Life Balance,Daily Routine Reset,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Moderate,1,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0117,Changing Careers,Learn New Skills,Cloud & DevOps (AWS/Docker),6 Months,Beginner (No prior background),Mon;Wed;Fri,Easy,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0118,Working,Higher Salary,Target FAANG / Tier 1 Tech Offer,6 Months,Intermediate (1-2 years relevant experience),Tue;Thu;Sat;Sun,Easy,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0119,Just Graduated,Freelance,Content Creation & Personal Brand,1 Week,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri,Easy,3,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0120,Changing Careers,Learn New Skills,Modern Full-Stack Javascript/Python,1 Week,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Hard,3,2,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0121,Just Graduated,Freelance,Content Creation & Personal Brand,1 Month,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Hard,2,2,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0122,Entrepreneur,Find Investors,Create Investor Pitch Deck & Data Room,1 Week,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri,Hard,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0123,University Student,Higher Studies,Master's in Computer Science,6 Months,Beginner (No prior background),Mon;Wed;Fri,Moderate,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0124,University Student,Higher Studies,Target GPA 3.8+,6 Months,Intermediate (1-2 years relevant experience),Mon;Wed;Fri;Sat,Hard,2,2,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0125,Just Graduated,Find a Job,Digital Marketing Specialist,1 Week,Beginner (No prior background),Sat;Sun,Hard,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0126,High School,University,Scholarship Strategy,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Intensive,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
